ban_rate,fame,name,rank,role,victory
NaN,NaN,NaN,NaN,NaN,NaN
6.9%,28.91%,Kai'Sa,1,ADC,50.54%
14.46%,18.96%,Caitlyn,2,ADC,49.74%
12.3%,16.86%,Sylas,3,Mid,48.92%
14.05%,16.66%,Miss Fortune,4,ADC,51.27%
13.42%,16.1%,Graves,5,Jungler,48.78%
3.03%,16.0%,Ezreal,6,ADC,48.59%
45.6%,15.24%,Aatrox,7,Top,50.19%
1.6%,13.91%,Jhin,8,ADC,50.9%
NaN,NaN,NaN,NaN,NaN,NaN
10.4%,13.8%,Syndra,9,Mid,50.5%
30.04%,13.66%,Blitzcrank,10,Support,52.5%
8.6%,13.29%,Maokai,11,"Top, Support, Jungler",52.08%
5.89%,13.22%,Sett,12,Top,50.52%
2.46%,12.59%,Thresh,13,Support,49.32%
7.03%,12.42%,Ekko,14,"Jungler, Mid",51.36%
2.45%,12.13%,Lucian,15,ADC,48.87%
NaN,NaN,NaN,NaN,NaN,NaN
5.61%,12.11%,Lee Sin,16,Jungler,46.57%
13.14%,11.79%,Yone,17,"Mid, Top",48.47%
15.68%,11.74%,Akali,18,"Mid, Top",47.42%
15.91%,11.41%,Lulu,19,Support,49.09%
2.7%,11.38%,Ashe,20,"ADC, Support",50.41%
40.47%,11.32%,Yuumi,21,Support,47.58%
8.98%,11.21%,Viktor,22,Mid,50.76%
40.97%,11.06%,Zed,23,Mid,50.59%
2.37%,11.05%,Lux,24,"Support, Mid",49.93%
17.8%,10.79%,Yasuo,25,Mid,48.37%
1.33%,10.74%,Nami,26,Support,52.16%
27.59%,10.38%,Darius,27,Top,50.6%
21.5%,9.99%,Samira,28,ADC,51.1%
14.05%,9.75%,Amumu,29,"Support, Jungler",51.46%
0.52%,9.59%,Jinx,30,ADC,51.25%
NaN,NaN,NaN,NaN,NaN,NaN
1.79%,9.18%,Tristana,31,ADC,51.36%
9.08%,9.12%,Vayne,32,"ADC, Top",49.06%
4.1%,8.87%,Viego,33,Jungler,48.42%
7.21%,8.86%,Twitch,34,ADC,50.7%
4.61%,8.84%,Sivir,35,ADC,49.92%
11.56%,8.82%,Nasus,36,Top,51.25%
15.86%,8.79%,Irelia,37,"Top, Mid",49.76%
7.36%,8.75%,Diana,38,Jungler,50.96%
9.1%,8.65%,Mordekaiser,39,Top,52.0%
10.46%,8.56%,Nautilus,40,Support,48.82%
16.01%,8.42%,Fiora,41,Top,49.73%
1.87%,8.05%,Sejuani,42,"Jungler, Top",50.72%
19.63%,8.03%,Hecarim,43,Jungler,49.71%
13.35%,7.99%,Kayn,44,Jungler,50.12%
12.58%,7.97%,Pyke,45,Support,48.72%
NaN,NaN,NaN,NaN,NaN,NaN
25.73%,7.86%,Morgana,46,Support,49.92%
24.9%,7.78%,Udyr,47,"Jungler, Top",51.02%
3.86%,7.6%,Soraka,48,Support,50.9%
9.54%,7.56%,Katarina,49,Mid,50.12%
1.58%,7.48%,Karma,50,Support,48.81%
5.87%,7.35%,Gangplank,51,Top,48.16%
30.64%,7.32%,Bel'Veth,52,Jungler,51.8%
22.89%,7.15%,Draven,53,ADC,49.95%
0.74%,7.14%,Aphelios,54,ADC,43.57%
10.79%,7.07%,Vex,55,Mid,51.77%
1.15%,7.06%,Varus,56,"ADC, Mid",49.12%
4.56%,6.72%,Zac,57,Jungler,51.51%
1.75%,6.67%,Séraphine,58,"Support, ADC",51.27%
1.02%,6.65%,Ornn,59,Top,51.43%
2.29%,6.43%,Janna,60,Support,53.55%
NaN,NaN,NaN,NaN,NaN,NaN
5.4%,6.43%,Leona,61,Support,49.29%
18.59%,6.42%,Maître Yi,62,Jungler,50.51%
13.68%,6.39%,Shaco,63,Jungler,50.6%
9.5%,6.32%,Vladimir,64,Mid,50.37%
6.21%,6.3%,Jax,65,Top,49.85%
2.26%,6.22%,Garen,66,Top,50.65%
2.93%,6.21%,Senna,67,Support,48.6%
2.27%,6.14%,Swain,68,"Support, Mid",51.39%
2.26%,5.91%,Ahri,69,Mid,48.26%
2.8%,5.88%,Xerath,70,"Support, Mid",50.11%
2.52%,5.67%,Camille,71,Top,50.05%
2.97%,5.62%,Renekton,72,Top,48.6%
2.48%,5.53%,Kha'Zix,73,Jungler,50.18%
0.82%,5.49%,Sion,74,Top,50.82%
1.08%,5.47%,Vi,75,Jungler,50.63%
NaN,NaN,NaN,NaN,NaN,NaN
1.0%,5.45%,Pantheon,76,"Support, Jungler, Top, Mid",50.24%
1.53%,5.45%,Azir,77,Mid,44.83%
6.62%,5.27%,Fiddlesticks,78,Jungler,52.78%
3.59%,5.22%,Renata Glasc,79,Support,51.01%
5.13%,5.15%,Kindred,80,Jungler,49.51%
0.87%,5.1%,Shen,81,Top,51.52%
0.41%,5.0%,Jarvan IV,82,Jungler,49.8%
6.97%,4.88%,LeBlanc,83,Mid,47.31%
1.31%,4.88%,Volibear,84,"Jungler, Top",51.19%
1.87%,4.61%,Lillia,85,Jungler,49.84%
1.36%,4.57%,Warwick,86,"Jungler, Top",51.8%
1.58%,4.39%,Talon,87,"Mid, Jungler",50.16%
2.38%,4.37%,Zilean,88,Support,52.38%
1.56%,4.31%,Veigar,89,Mid,49.44%
3.0%,4.3%,Nidalee,90,Jungler,48.45%
NaN,NaN,NaN,NaN,NaN,NaN
3.58%,4.21%,Fizz,91,Mid,50.57%
1.68%,4.19%,Kalista,92,ADC,46.95%
1.2%,4.18%,Riven,93,Top,50.53%
2.52%,4.13%,Trundle,94,Jungler,50.51%
1.69%,4.08%,Zyra,95,Support,52.09%
3.22%,4.02%,Rengar,96,"Jungler, Top",50.23%
0.45%,3.96%,Gragas,97,"Top, Jungler",49.55%
2.24%,3.95%,Karthus,98,Jungler,49.34%
2.24%,3.87%,Poppy,99,"Jungler, Top",49.14%
2.06%,3.85%,Malphite,100,Top,49.12%
1.28%,3.8%,Heimerdinger,101,"Support, Mid",51.92%
5.36%,3.79%,Elise,102,Jungler,50.69%
6.92%,3.77%,Kassadin,103,Mid,50.1%
1.75%,3.67%,Brand,104,Support,49.8%
4.38%,3.66%,Akshan,105,"Mid, Top",50.62%
NaN,NaN,NaN,NaN,NaN,NaN
2.45%,3.65%,Olaf,106,"Top, Jungler",52.13%
0.18%,3.65%,Rakan,107,Support,49.69%
0.76%,3.64%,Gnar,108,Top,47.65%
1.54%,3.61%,Nocturne,109,Jungler,51.43%
2.92%,3.46%,Teemo,110,Top,49.18%
0.65%,3.35%,Alistar,111,Support,48.45%
1.08%,3.31%,Taliyah,112,"Mid, Jungler",50.34%
0.15%,3.3%,Sona,113,Support,52.54%
0.4%,3.28%,Bard,114,Support,49.96%
0.84%,3.25%,Nunu et Willump,115,Jungler,50.59%
0.9%,3.25%,Lissandra,116,Mid,48.19%
1.35%,3.17%,Zoé,117,Mid,50.37%
6.28%,3.13%,Rammus,118,Jungler,47.9%
7.22%,3.12%,Nilah,119,ADC,51.71%
0.34%,3.11%,Vel'Koz,120,"Support, Mid",50.51%
NaN,NaN,NaN,NaN,NaN,NaN
2.69%,3.09%,Illaoi,121,Top,49.86%
2.68%,3.05%,Anivia,122,Mid,50.59%
0.99%,3.02%,Kayle,123,Top,49.21%
4.33%,3.02%,Evelynn,124,Jungler,49.69%
0.19%,3.01%,Xayah,125,ADC,48.14%
2.0%,2.93%,Yorick,126,Top,49.67%
0.32%,2.91%,Jayce,127,Top,46.73%
2.53%,2.9%,Malzahar,128,Mid,49.73%
0.77%,2.88%,Singed,129,Top,51.93%
0.48%,2.81%,Rumble,130,"Top, Mid",49.87%
1.14%,2.81%,Qiyana,131,"Mid, Jungler",50.14%
0.64%,2.78%,Shyvana,132,Jungler,51.31%
0.62%,2.66%,Urgot,133,Top,50.52%
1.66%,2.64%,Cassiopeia,134,Mid,51.42%
0.28%,2.6%,Galio,135,Mid,49.47%
NaN,NaN,NaN,NaN,NaN,NaN
2.45%,2.58%,Tryndamere,136,Top,48.66%
0.15%,2.57%,Orianna,137,Mid,49.09%
